speaker,start,end,duration,content
T001,0.05,29.02,28.97,"OK so hi everyone and thanks for coming. Today we're going to play a quiz so I'm going to ask you as a team a question that was asked to 100 people and you need to give me the tree most popular answers to that question. And after you get the three most popular answers to that question, I'm going to ask you to rank them from most popular to least popular. So, for example, if I asked you name something that people are afraid of, you might say things like heights, spiders, and other people."
T001,29.64,34.43,4.79,"And the ranking from most popular to least popular would be spiders heights, other people."
T001,35.13,39.54,4.41,And you have to reach a consensus on that as a team. So do you have any questions?
T001,41.12,48.96,7.84,"No brilliant, so we'll start with our first question, which is name, something that people are often chased by in movies."
P124,52.6,54.74,2.14,"Zombies, would you guys think?"
P075,55.83,56.18,0.35,Well.
T001,55.89,58.1,2.21,Zombie Zombies is close to 1.
P146,56.08,56.48,0.4,I.
P146,58.81,59.24,0.43,Khan
P124,58.99,59.59,0.6,Oh
T001,59.14,61.59,2.45,"It's it's not there, but it's sorry Aaron."
P146,61.86,62.34,0.48,Khan.
P146,63.5,66.11,2.61,"Like cars, just mobile, yes."
T001,64.98,66.53,1.55,"Cars, yeah, cars with them."
P075,67.85,69.42,1.57,"Uhm, other people."
P075,71.04,72.67,1.63,I don't know that's not even funny.
T001,71.61,74.54,2.93,"Close, close, close to a few of them, like."
T001,75.63,76.54,0.91,Not other people.
P124,75.73,76.66,0.93,a criminal.
T001,78.47,80.06,1.59,"Uh, not quite."
P075,80.16,81.09,0.93,People with guns.
T001,82.26,84.17,1.91,You're circling around one of them.
P129,83.71,84.32,0.61,13
P124,84.37,85.15,0.78,Murderer
T001,86.19,87.78,1.59,"Not murder or whatever. I say, sorry."
P129,88.42,91.79,3.37,unpopular person maybe like?
T001,91.68,92.63,0.95,No.
P129,92.48,94.66,2.18,This can be seen. That's what I choose.
T001,94.05,100.2,6.15,"You're you're quite close. You're quite close with like villains on people with guns, but you're not quite there."
P146,95.11,95.8,0.69,Policeman.
P075,99.89,100.7,0.81,Uhm?
P124,100.72,101.57,0.85,psycho pass.
T001,102.03,103.0,0.97,No.
P075,104.5,107.23,2.73,Spies don't know terrorists.
T001,107.29,110.6,3.31,Still kind of close. Who would have guns?
P146,110.98,111.56,0.58,Guys.
P075,111.33,111.78,0.45,Oh
P075,112.39,113.0,0.61,cops.
T001,113.39,115.24,1.85,"Cops, cops in their own."
P146,114.75,116.64,1.89,"Oh, I just said please mention."
P075,116.85,117.41,0.56,Oh sorry.
T001,116.9,118.75,1.85,"Yes, sorry I didn't hear you."
T001,119.74,122.09,2.35,"But yeah, cops policeman, that's another one."
T001,123.88,126.12,2.24,So we have cars and we have cops just one more.
P075,127.27,128.3,1.03,And ghosts.
T001,129.45,130.32,0.87,Getting close.
P124,133.44,134.31,0.87,Mummies
T001,134.75,138.99,4.24,"Getting close, as well. Ghosts, zombies, mummies."
P124,135.39,135.82,0.43,no.
P124,139.71,140.78,1.07,Monsters.
T001,140.81,142.57,1.76,"Monsters, Yep."
P075,142.32,143.17,0.85,Lies.
P124,143.05,144.04,0.99,Whole big
T001,143.33,156.7,13.37,"Like monster movies? Yeah the whole thing. So those are the top three I'm going to ask you to rank them from most popular to least popular of those three. So you gave me cars, cops and monsters."
T001,157.47,158.36,0.89,What's the ordering?
P129,162.88,165.39,2.51,Monster cops and cars.
P146,165.91,168.4,2.49,And Carson.
P075,169.1,170.88,1.78,"Say cars, cops and monsters."
P124,172.98,174.26,1.28,"Yeah, I agree with Oliver."
P124,176.45,178.47,2.02,"But you're not saying anything, so it must be right."
T001,177.85,182.99,5.14,"Yeah, well yeah you have to. You have to work together as a team and give me like an answer as a team so."
P075,181.86,182.41,0.55,Oh
P124,182.59,193.44,10.85,"Oh OK, OK, alright, so it's slightly different. UM, I feel like there are a lot of cop movies maybe so that should be placed one or two I think."
P146,183.31,185.3,1.99,Oh OK OK yeah.
P146,193.95,194.41,0.46,Green
P146,198.67,200.51,1.84,demonyms movies.
P124,201.64,203.48,1.84,"There's a lot of monster movies too, yeah?"
P124,205.62,208.35,2.73,But cars also have been car chases at pretty common.
P075,208.48,211.8,3.32,"Yeah, I'd say there's a car chase in about every single action movie."
P124,212.66,213.81,1.15,"Yeah, maybe."
P075,212.8,215.73,2.93,Weather my cops and all them.
P124,217.25,225.81,8.56,"Yeah, maybe that's why I like your cars, cops, monsters ranking. I feel like that's a good way to go, but I don't know what do you think? Reilly and Erin?"
P146,227.02,230.59,3.57,"I think young, like cars chasing, can happen in."
P146,231.29,233.9,2.61,"And you know, policemen chasing and mostly chasing so."
P146,234.73,235.24,0.51,And.
P129,236.32,237.57,1.25,Me like.
P146,236.46,240.17,3.71,"I think probably a card, maybe them it's probably 1."
T001,241.58,245.77,4.19,"So am I feeling a bit of consensus around cars, cops and then monsters?"
P075,248.07,249.32,1.25,"Very good, Yep."
T001,248.96,250.01,1.05,Everyone happy with that.
P129,249.7,251.63,1.93,I think that's a good good one though.
P124,251.37,251.76,0.39,OK.
T001,252.66,259.67,7.01,"OK, unfortunately it's not correct. It's actually monsters. Then cars and cops, so you got the cars and cops."
P124,259.05,264.23,5.18,Ha ha.
T001,260.9,265.29,4.39,"In the right order, but monsters is tough, so I think people are thinking monster babies."
P146,263.81,264.8,0.99,I've been seeing a lot of.
P146,265.61,268.29,2.68,Haven't seen that Monday. I wouldn't choose that one.
P129,267.27,268.96,1.69,I told Monster first.
T001,269.56,277.5,7.94,"Yeah, that's fine though. We've got a few more questions. Maybe you can get those. Our second one is name an instrument in a Symphony Orchestra."
P124,278.85,282.34,3.49,"Oh, I played in a Symphony Orchestra, absolutely."
P146,279.66,280.47,0.81,Elaine.
P075,282.59,283.3,0.71,At the express.
T001,282.8,284.39,1.59,What did Aaron say sorry.
P146,284.14,285.23,1.09,"Darling, darling."
T001,285.17,286.31,1.14,Violin is one of them. Yep.
P124,286.82,289.74,2.92,"Viola cello, bass, oboe"
T001,289.19,292.56,3.37,Shallow is another one. You're just gonna keep listing off instruments.
P124,292.34,292.55,0.21,OK.
P075,292.53,293.16,0.63,Uhm?
P124,293.25,294.12,0.87,I am yeah.
P075,295.81,296.8,0.99,I know drums.
T001,295.92,296.39,0.47,Yep.
T001,297.13,297.9,0.77,Drums here.
P075,298.38,298.85,0.47,Yep.
T001,298.72,307.87,9.15,"Drum today a little visit from percussion yet so in the order you gave it to me. It's violin, cello and drums, but what do you think is the most popular?"
P075,306.36,306.75,0.39,That's.
P124,307.3,311.96,4.66,"And we have to do base because it was my instrument in orchestra. I feel attached to it, so based."
T001,313.52,316.61,3.09,"There might be #4, I don't know, but it's not there."
P075,317.68,318.59,0.91,I'd say that.
P124,317.79,319.79,2.0,"It's not there. Oh, sorry."
T001,317.99,318.61,0.62,We do have.
T001,319.31,324.31,5.0,"Yeah, we have violin, cello and drums, so they were all they were all said, those are the three most popular."
P129,325.19,325.76,0.57,OK.
P075,326.34,328.41,2.07,They might be in that order as well. Be honest.
P124,326.35,326.72,0.37,OK.
P129,327.19,327.65,0.46,Flynn
P129,328.48,329.94,1.46,hello and drums.
P075,330.88,331.35,0.47,Yeah.
T001,331.4,334.53,3.13,"Got 2 for violin, cello and drums. What about Aaron and Allison?"
P124,335.73,337.48,1.75,"I'd agree with that, yeah."
P146,337.64,339.54,1.9,"Yeah, I think I would go with that as well."
T001,340.85,345.2,4.35,"It's a good thing you agree with that. 'cause that is the order. Congratulations, that's one out of two."
T001,346.87,352.62,5.75,People think violin 1st and then they just go from there I suppose. So question three. Let's see if we can make it 2 for three.
T001,353.46,362.69,9.23,"Name a public place where you're likely to catch a cold or flu with the note that this was pre pandemic, so everywhere isn't a valid answer."
P146,363.93,364.48,0.55,Import
T001,365.25,366.74,1.49,So important one of them know.
P129,367.37,368.16,0.79,Park.
P075,367.39,367.76,0.37,Of course.
T001,369.14,374.35,5.21,"I heard public transport, which isn't correct, but think along the lines of transport. I didn't hear what Riley said."
P129,375.38,376.0,0.62,Spark.
P146,375.64,375.99,0.35,plus.
T001,376.61,377.86,1.25,Park isn't one of them though.
P075,378.53,379.28,0.75,As a bus.
P124,378.55,379.4,0.85,Boss
P129,379.38,380.23,0.85,Shopping mall.
T001,381.32,385.99,4.67,"Boss isn't one, but keep thinking, transport, shopping mall shopping centre isn't one of them."
P146,385.38,386.28,0.9,Train.
T001,387.15,388.58,1.43,Keep thinking transport.
P075,388.79,389.46,0.67,Taxi.
P146,388.85,389.56,0.71,Subway.
T001,390.38,391.1,0.72,Plane.
P075,391.49,391.92,0.43,Oh
P146,391.57,392.1,0.53,Plane.
P124,392.12,392.65,0.53,no.
T001,392.35,396.66,4.31,"Playing yeah, I. I think I heard playing there so yeah not taxibot plane."
P075,393.51,394.02,0.51,I got.
P129,397.43,400.25,2.82,Workplace like offices.
T001,397.53,398.0,0.47,Sorry about.
P146,401.43,402.0,0.57,School.
T001,401.7,407.45,5.75,"No, yeah I was going to say well, you just got the two older ones there one after the other. It's cool in hospital."
P075,402.26,403.05,0.79,Hospital
P124,409.2,410.0,0.8,Good job.
P146,409.32,409.69,0.37,OK.
T001,410.37,410.78,0.41,Yeah.
T001,412.3,416.56,4.26,"So we have plane, school and hospital and those are the three most popular."
T001,417.47,418.52,1.05,But what is her ranking?
P124,419.32,420.64,1.32,Hospital #1
P129,419.68,422.07,2.39,Play school hospital like this.
P146,422.23,423.16,0.93,Yeah hospital.
P146,423.91,424.52,0.61,Moon.
P124,425.02,426.05,1.03,I I think so.
P075,425.11,426.94,1.83,I go play in hospital school.
P124,427.84,434.53,6.69,For hospitals have a lot of sick people in small quarters also depends on the country. In Ireland I'd say hospital. In the US I'd say plane first.
P075,435.83,436.24,0.41,Yes.
P075,439.87,441.26,1.39,Maybe hospital first then.
