speaker,start,end,duration,content
T002,0.05,10.64,10.59,"Into it, uh, So what we're going to be doing today is kind of a quiz game and you'll be familiar with it. If you've ever seen the TV show family fight or Family feud."
T002,11.6,25.66,14.06,"Uh, but if you haven't, I'll explain it anyway, so don't worry. So I'm gonna ask you a question that was asked to 100 people in a survey and you guys have to talk amongst yourselves and come up with the three most popular answers."
T002,26.69,32.48,5.79,"So, uh, yeah. And then afterwards I'll get you to rank them in the order of popularity."
T002,33.17,36.74,3.57,Anyone up any questions or is that kind of clear enough?
T002,39.1,40.25,1.15,"Yeah, good to go."
P024,39.88,40.19,0.31,Yeah.
T002,41.2,43.09,1.89,Ready for first question question would.
T002,45.77,46.25,0.48,Right?
T002,47.57,51.2,3.63,Name something people are often chased by in movies?
P024,55.23,57.17,1.94,"Zombies, that's for sure."
T002,57.54,58.23,0.69,Yeah.
P021,57.6,59.5,1.9,Zamet police.
P024,58.66,59.09,0.43,Yeah.
P019,59.64,60.21,0.57,Please.
P027,59.69,60.04,0.35,Yeah.
T002,59.94,67.39,7.45,"Police OK police, that's the first one that's on the list. OK, so police is on there. They said they said cops actually."
P027,61.39,61.66,0.27,The.
T002,68.09,77.03,8.94,"So zombies unfortunately wasn't on the list, but maybe, yeah, lady. If you can think of like a broader term. Just yeah, just keep saying things eventually something will be on there."
P024,70.32,71.0,0.68,Ah.
P019,77.64,78.67,1.03,The bird goes.
P024,77.73,78.22,0.49,Uhm?
T002,79.64,82.63,2.99,The bad guys are afraid that's not on the list.
T002,84.79,87.12,2.33,"So we got one out of three, sorry."
P024,84.87,85.33,0.46,Jump.
P027,86.63,88.02,1.39,Monsters or animals?
T002,88.35,93.28,4.93,"Monsters, yeah, that's on the list as well. We got 2/2 out of three."
P024,94.53,96.12,1.59,What about wild animals?
T002,97.36,102.51,5.15,"But nonetheless, but it's a good one actually. Another people do get chased with wild animals and films."
P021,102.81,104.68,1.87,"Cars, car chases."
T002,104.98,107.83,2.85,"Yeah cars, that's the third one cool."
T002,108.52,129.51,20.99,"Great, I was super quick and all right so we had cops first, then monsters, then cars and now try and order them and like the most from the most popular to the least popular. So which do you think comes first that most people would answer and remember? It's not necessarily the most correct one or something. It's just."
T002,130.1,132.09,1.99,The most common one most common unsafe.
P019,135.99,136.84,0.85,Police first.
P021,137.21,138.56,1.35,Get high tech though.
P024,137.68,138.95,1.27,"Yeah, absolutely."
T002,139.58,140.63,1.05,Everyone go to that.
P024,141.08,141.45,0.37,Yeah.
T002,141.94,144.89,2.95,"OK, so we're saying please first."
P021,143.09,143.5,0.41,And then.
P021,145.36,151.79,6.43,I think monsters would probably be last right because like it's just less harmful this out there in this horror movie fans.
P024,148.67,148.98,0.31,Yeah.
P019,150.5,153.79,3.29,Yeah I bought the please carries monsters.
P024,153.53,155.3,1.77,"Yeah, cars, probably 2nd."
P027,156.58,159.05,2.47,The police chase you by car as well so.
T002,156.61,157.22,0.61,OK.
T002,159.9,163.11,3.21,"Oh, that's true. Actually, there's an intersection there."
T002,165.59,168.77,3.18,"Yes, people are just saying whatever the first thing that came into their head was."
