speaker,start,end,duration,content
T002,0.05,2.39,2.34,"Alright, I think it's recording so we can go ahead."
T002,3.18,18.65,15.47,"So today we're just going to play a quiz game super Easy so you don't need to worry about anything. Don't be stressed, it's it might be familiar to you if you've seen the TV show family feud or a family fight, but if not, don't worry. I'm going to explain it anyway."
T002,19.64,38.45,18.81,"So I'm going to ask you guys a question which was also asked to 100 people in a survey and you have to guess the top three most popular answers to the question. So for example, if I said name something people are afraid of, you might come up with spiders heights and other people."
T002,39.38,48.23,8.85,"Uhm, and then afterwards I'm gonna ask you to rank these 3 answers. So in this case spiders would be first, most popular then heights, and then other people third."
T002,50.54,52.21,1.67,Us like clear enough.
T002,53.37,55.02,1.65,I want to give a question ago you ready.
T002,57.65,60.58,2.93,Cool OK question one.
T002,61.49,64.88,3.39,"Name something or sorry, did you? Another question."
T002,67.61,69.16,1.55,"OK and yeah, just."
P158,68.63,70.12,1.49,Comma question so.
T002,71.13,71.58,0.45,Sorry.
P158,72.34,74.2,1.86,"Well, you know it's fun doing."
T002,74.69,76.59,1.9,"Oh no, sorry I keep talking over you."
T002,77.67,94.95,17.28,"Uhm, but yeah in this scenario as well, just to say you're working together, you're not like competing or anything, so you just shut out whatever things come to your mind and you can argue that which is the most popular or whatever. I'll let you know when you've arrived at the top 3 answers, and then afterwards I'll ask you to order them."
T002,99.12,101.33,2.21,"OK, so question would."
T002,102.4,105.58,3.18,Name something people are often chased by in movies?
P138,108.17,108.66,0.49,Police
P139,108.27,108.72,0.45,Ours.
T002,110.39,111.57,1.18,"Sorry, what do you say Sarah?"
P138,112.39,112.93,0.54,police.
T002,113.33,120.14,6.81,"Police, yeah, that's that's on the list. I said cops, I think it was an American server. Yeah cops police. Same diff. OK, one out of three."
P158,120.41,121.38,0.97,I'm call.
T002,121.97,124.28,2.31,Yeah yeah. Cars cars is number 2.
T002,125.59,127.18,1.59,So we got two out of three.
P126,126.49,126.86,0.37,Birds.
P139,127.83,128.58,0.75,Aliens
T002,129.48,132.02,2.54,Waiter or you said something as well before ideas.
P126,132.81,133.56,0.75,Monsters.
T002,134.0,145.65,11.65,"Yeah, monsters is actually the third one, so aliens, I guess kind of falls into that category. So yeah, OK, that was really quick so we had we had police first, then cars and monsters, so they're the top 3 answers."
P138,134.02,134.35,0.33,I.
T002,146.24,149.53,3.29,So which do you think is most popular? How would you rank these?
P158,151.32,153.69,2.37,I would go car one and then.
P158,154.87,158.36,3.49,Of police two and monsters 3.
T002,161.1,164.11,3.01,"OK, why do you think cars number one out of interest?"
P158,164.22,169.93,5.71,"Uh, I guess if you're being chased by the police or being chased in a car, a lot of the time."
T002,170.69,172.96,2.27,"Yeah, I guess those two kind of intersect."
P158,172.89,174.68,1.79,States of Lincoln then?
P158,175.72,178.91,3.19,"Uh, I don't feel like it's just more common maybe."
P138,179.37,189.6,10.23,"But at the same time, police can be both on foot or in car. So maybe police is a bigger set than the car."
P158,190.27,191.13,0.86,"Yeah, those."
T002,190.73,191.36,0.63,Yeah.
P138,192.61,196.38,3.77,"Because it also includes police by on foot, right?"
T002,196.96,197.44,0.48,Miller
