speaker,start,end,duration,content
T002,0.05,0.54,0.49,Gordon
T002,2.09,5.33,3.24,OK. I think the recording started now so we can begin.
T002,6.28,14.11,7.83,"So what we're going to be doing today is playing a quiz game, which you might recognize if you've ever watched the TV show family feud."
T002,15.78,30.37,14.59,"But if you, if you haven't, don't worry 'cause I'm gonna explain it anyway. So I'm gonna ask you guys a question which was also asked to 100 people in survey and you have to try and guess the most popular answers. The top 3 answers that the people picked in the survey."
P003,15.92,16.3,0.38,Yeah.
T002,31.06,44.51,13.45,And then afterwards I'm going to ask you to rank them in like the order of popularity. So Al example is like if I said name something people are afraid of. You might say spiders heights or other people.
T002,46.31,49.67,3.36,It's like that full of the top three. Thanks for that survey anyway.
T002,50.53,54.4,3.87,"Uhm, no, it's not. It's not cleared by committee questions."
T002,56.3,73.05,16.75,"Oh good, OK, well. And by the way, you're going to be working as a team you're not like against each other. The scenario. So like you're free to discuss with each other. And just like, yeah, we're together until you get those popular absys OK, ready for your question would."
P046,56.64,57.03,0.39,OK.
P053,64.01,64.4,0.39,OK.
P046,74.13,74.37,0.24,Yep.
P003,74.43,74.92,0.49,1st.
T002,77.28,81.17,3.89,A name something people are often chased by in movies?
P003,83.85,84.64,0.79,Animals.
P046,85.43,86.66,1.23,"Yeah, cars."
T002,86.01,90.5,4.49,I want this now. Their cards on there. OK so we got one other three.
P046,88.78,89.29,0.51,OK.
P046,92.17,94.27,2.1,"Other people, right?"
P046,95.03,95.6,0.57,I read.
T002,96.2,98.51,2.31,"It's not under, but it is true."
P046,97.4,97.77,0.37,Oh
T002,99.95,101.89,1.94,"It is true, uh?"
P003,101.64,102.42,0.78,Monsters.
P051,102.91,103.41,0.5,M.
T002,103.04,104.29,1.25,Monsters on there.
P053,103.28,104.6,1.32,"Yeah, I was thinking that."
P051,104.95,105.54,0.59,Yeah.
T002,105.09,111.74,6.65,"OK, well see that's great. We got two out of three nodes so we got multiple monsters. We had cars and monsters, there's one more."
P051,112.13,113.34,1.21,Like murderers
T002,114.28,118.24,3.96,"No, but kind of the same genre like."
P046,115.77,116.46,0.69,that's great.
T002,118.88,122.72,3.84,"Yeah, so you're watching a crime thriller. What are people being chased by?"
P046,123.65,124.57,0.92,Like a criminal.
T002,125.97,138.68,12.71,"Yeah, police, yeah, that's the third one. They actually said cops. I think it was an American survey. So what we have first cars and monsters and called great OK."
P051,126.17,126.64,0.47,sorry.
P046,128.5,129.35,0.85,Oh
P053,128.72,129.69,0.97,Ah.
T002,140.42,147.88,7.46,So now you guys have to pick the most popular you have to run some of the order of popularity. So what would you put as number one?
P003,151.21,153.4,2.19,Ours without the most common.
P053,152.56,153.67,1.11,Cars maybe?
P046,154.04,156.35,2.31,"I mean, cars is what came to my mind first, but."
P003,155.67,156.26,0.59,Yeah.
P046,157.56,161.79,4.23,"Yeah, cards output cars is number 1 maybe."
P003,157.87,158.66,0.79,It's a carnival.
T002,160.56,164.27,3.71,"Yeah, it's hard to guess because cars."
P003,161.78,162.31,0.53,Yeah.
P053,162.84,163.21,0.37,Yeah.
P003,163.52,164.29,0.77,Happy birthday ash.
P003,165.76,166.25,0.49,Yeah.
P046,167.57,171.09,3.52,"Yeah, maybe for police. Second, just 'cause it's America."
P053,171.86,172.57,0.71,Paris.
P046,172.95,177.02,4.07,I feel like that's probably Oh yeah.
T002,174.17,175.2,1.03,Oh my God.
P003,177.62,178.04,0.42,Yeah.
P053,177.62,178.23,0.61,Yeah.
T002,180.03,185.26,5.23,Cars in Cavs. I feel like cars and cops are almost the same category like.
P003,180.35,180.74,0.39,So.
P003,182.05,182.44,0.39,The.
P046,185.15,186.52,1.37,"Yeah, it's kind of synonymous."
P053,185.9,188.22,2.32,"Yeah, 'cause it's like cops in the car."
P003,185.91,186.45,0.54,Yeah.
T002,186.83,187.49,0.66,Yeah.
P003,188.71,189.06,0.35,Yeah.
T002,188.76,189.31,0.55,Yeah.
