speaker,start,end,duration,content
T001,2.47,10.96,8.49,"OK so hi everyone, thanks for coming today. We're going to play a quiz so I'm going to ask you a question that was asked to 100 people."
T001,11.65,15.46,3.81,And you need to give me the three most popular answers together as a team.
T001,16.29,21.32,5.03,"After you get the top tree answers, I'm going to ask you to rank them from the most popular to the least popular."
T001,22.39,30.06,7.67,"So for example, if I asked name, something that people are afraid of, you would say maybe heights, spiders, other people."
T001,30.76,35.31,4.55,"And then from most popular to least popular, it would be spiders, heights, other people."
T001,36.27,37.34,1.07,Any questions?
P169,38.46,39.48,1.02,Team straightforward.
T001,39.74,43.55,3.81,"Simple enough, yet you do have to reach consensus on the order."
T001,44.19,52.48,8.29,"But you know, as a team you can. When you get one right? I'll tell you so. Our first question is named something that people are often chased by in movies."
P173,53.67,54.26,0.59,Cars.
T001,54.8,55.81,1.01,Cars is 1 yet.
P167,55.89,56.57,0.68,Zombies.
T001,58.1,59.75,1.65,Zombies is similar to one of them.
P169,61.07,62.06,0.99,Falling buildings.
P210,61.19,62.08,0.89,Dinosaurs.
P210,63.04,63.71,0.67,What is the answer?
P173,63.1,63.71,0.61,On streets.
T001,63.27,68.64,5.37,"OK, so so I had two people talking at the same time there, so can I get Gabriel 1st and then Liam?"
P169,67.38,68.3,0.92,Go ahead Jackson.
P210,69.75,73.62,3.87,"Uh, so zombies is similar to one, is it dinosaurs?"
T001,74.53,76.44,1.91,"Kind of similar, still Liam."
P167,76.87,77.14,0.27,Killer.
T001,79.33,80.48,1.15,"No, not serial killer."
P173,81.72,82.39,0.67,Monsters.
P169,82.15,82.58,0.43,Nope.
T001,83.14,85.31,2.17,Monsters yeah monster.
T001,86.15,90.09,3.94,So I suppose dinosaurs and zombies kind of come over the general umbrella.
P210,89.42,94.65,5.23,"Uh, so wait. So we've got cars, monsters, the police."
T001,93.83,96.9,3.07,"You're looking for the police, yet the police is the missing one."
T001,98.13,107.08,8.95,"So in the order that you gave them to me, that would be cars, monsters and police. But what is the ranking from most popular to least popular of those three?"
P210,110.02,113.51,3.49,"Again, I I wasn't talking about ranking, I was just adding in please."
T001,110.94,111.35,0.41,No.
P167,112.67,112.91,0.24,I.
T001,113.52,117.53,4.01,"No, no, no. That's just the order that you gave them to me. But what is the most like? What is the ranking?"
P167,118.19,121.79,3.6,"I think police might be number one I'm guessing, yeah."
P173,118.81,119.2,0.39,Come.
P169,120.83,125.76,4.93,"Yeah, I put the the animated things first and put cars in the bottom."
P173,126.81,132.28,5.47,Is the question what is the most common ranking that people give it or the actual ranking?
T001,134.32,139.01,4.69,You know what's the most common that people give? So the 100 people that were asked?
P173,139.36,139.87,0.51,OK.
P167,143.84,144.63,0.79,I'd say.
P169,147.69,156.08,8.39,"Police Lego police first, 'cause that's a John remove movie genre. The rest are kind of like you can have a horror and there's different things in the higher."
P167,149.36,149.65,0.29,Yeah.
P167,150.79,151.18,0.39,Yep.
P167,155.06,155.35,0.29,No.
P169,156.83,157.16,0.33,But
P167,158.04,160.98,2.94,"Police, monsters, cars could that weird."
P169,158.24,159.24,1.0,Lisa John ray.
P169,161.06,161.55,0.49,Yeah.
P167,161.92,162.84,0.92,What do you guys think?
P169,163.73,164.86,1.13,I'd be with Luke on that.
P210,165.3,168.37,3.07,"Sorry, couldn't there. For a second you were working on the order ID."
P167,168.81,174.72,5.91,"Young, so Liam and I were thinking of police monsters and then calls as the order."
P169,168.82,169.28,0.46,Yep.
P210,175.34,178.71,3.37,"He's mostly 'cause yeah, yeah, I think that sounds about right."
P173,179.38,182.29,2.91,"I think I'd go with cars, then police, then monsters."
P169,183.48,184.91,1.43,Why can't stress tests?
P210,183.56,184.41,0.85,Bikers
P169,186.29,189.26,2.97,It's not specific. It could be like police cars or.
P210,186.32,187.79,1.47,do you think my cars were just?
P173,187.65,189.85,2.2,Was like places the last email photos.
P169,193.83,196.5,2.67,"But like besides police cars, what other cars are chasing you?"
P210,198.87,204.56,5.69,So are you thinking by cars? You mean all current chases?
P173,203.67,205.68,2.01,Like the generic car chase like.
P210,205.88,213.58,7.7,"Yeah, yeah, I'd say yeah. I mean like any film, any film where there's bad guys getting chased by the police."
P210,214.68,217.41,2.73,Versus any film where there's anyone getting chased in cars.
P167,219.45,228.19,8.74,"So actually that makes sense, right? Like a lot of times like follow that car and like you in a taxi or in somebody else's car or anything, and it's."
P167,228.9,230.77,1.87,Might be more common in the police I guess.
P210,231.52,232.05,0.53,Yeah.
P210,234.85,237.64,2.79,"Yeah, So what do you reckon? Are you saying Jackson? Are you saying?"
P210,238.27,242.17,3.9,"Cars please dinosaurs or not, don't search is monsters."
P173,242.37,243.82,1.45,"Yeah, that's what I would have pushed."
P210,245.23,245.78,0.55,OK.
P210,246.88,247.65,0.77,And.
P167,247.07,247.48,0.41,Yeah.
P210,248.6,249.81,1.21,"Yeah, I'm probably happy with that."
P169,250.08,251.15,1.07,I'm happy with that dude.
P167,251.06,252.4,1.34,"Yeah, same, I'm happy with that."
T001,252.72,254.81,2.09,"So just to confirm, we're going for."
T001,256.01,258.7,2.69,"Cars first, then police, then monsters."
P167,257.19,257.62,0.43,Yep.
P167,259.48,260.01,0.53,Yes.
P210,259.81,260.27,0.46,Yeah.
T001,261.11,263.74,2.63,"It's actually monsters, cars and then the police."
P210,264.08,264.88,0.8,"Oh, really."
T001,265.0,268.25,3.25,Monster movies a classic staple.
P210,268.44,269.61,1.17,There's just so many of them.
T001,269.77,272.93,3.16,"Yeah, maybe not. Some, maybe not so much anymore, but."
P210,270.64,271.93,1.29,"My dear, we already."
P210,273.59,276.38,2.79,"Yeah, it was really monsters with a darker stain."
T001,273.85,276.22,2.37,"No worry, no worry. We've got other questions."
