speaker,start,end,duration,content
T002,3.33,3.84,0.51,OK.
T002,4.59,34.6,30.01,"Well, the recording seems to have started, so we can go ahead and start. So what we're going to be doing today is, you know, kind of easy and relax. It's just going to be playing a quiz game and you might have heard of this game if you've ever watched the TV show family feud or Family Fight. But if you haven't, don't worry. 'cause I'm going to explain it now anyway, so I'm going to ask you guys a question and you have to think of the most popular answers to this question. So this question was also asked. 100 people in some survey."
T002,35.16,44.53,9.37,"And you have to guess, kind of the top 3 answers and I'll tell you when you put on the top 3 answers and then afterwards I'm gonna ask you to rank them in order of popularity."
T002,45.47,46.29,0.82,"So, uh."
T002,47.49,62.12,14.63,"Yeah, for example, one of the questions is name something people are afraid of and you might say things like spiders heights or other people at the top 3 answers. In that case, with spiders being number one."
T002,62.98,70.01,7.03,"Uhm, alright, and you're free to discuss with each other just like shout out things until you hit on something that's in the top three."
T002,71.26,72.97,1.71,Any questions little clear.
T002,74.91,77.15,2.24,OK you guys ready for the first question.
P175,78.52,78.83,0.31,Yeah.
T002,80.0,82.13,2.13,"Cool, right?"
T002,82.78,86.19,3.41,Name something people are often chased by in movies?
P175,89.29,89.83,0.54,Cat.
T002,90.61,95.0,4.39,"Cats, no, that's not a miss, but I'd like to see that film."
P181,94.14,94.85,0.71,And.
P122,95.41,97.74,2.33,It monster is that too broad?
T002,97.34,102.82,5.48,"Yeah, no monsters on there. That's that's what I did. The three killer isn't on there."
P122,99.39,100.76,1.37,K cool.
P181,99.85,100.82,0.97,Or killer?
P175,102.19,102.7,0.51,Damn.
T002,104.51,106.24,1.73,Oh Elizabeth.
P181,105.29,105.82,0.53,And.
P175,105.32,106.11,0.79,The cops.
P148,106.49,106.88,0.39,Yeah.
P122,107.07,107.96,0.89,Yeah please.
T002,107.67,108.84,1.17,Did you say something?
T002,109.61,117.78,8.17,"Uh, OK, mom stresses on their corpses on there, uh, there is another. OK, this is great. So two out of three, there's one more left."
T002,127.26,127.86,0.6,Yeah.
T002,129.41,131.71,2.3,"Hold on fire today, OK?"
T002,132.35,144.55,12.2,So that's the three of them. We had some of the we said monsters 1st and then cops and then cars. So now you have to put these in order. So what do you think is the number one? The most popular answer?
P122,148.36,153.88,5.52,Maybe monster 'cause that's like a whole genre like horror movies. Maybe that would come to people's minds first.
T002,152.37,152.88,0.51,Yeah.
T002,154.29,160.64,6.35,"Yeah OK, uhm I will drive well. What does everyone else think of putting monsters Priest?"
P181,164.02,170.56,6.54,Maybe car just because it's so like there can be a car in any type of movie tonight maybe?
T002,168.93,169.5,0.57,Yeah.
P175,169.89,170.37,0.48,Yeah.
P122,170.01,170.34,0.33,Yeah.
T002,171.27,173.34,2.07,I guess the car chase is a real classic.
T002,173.95,175.7,1.75,"Uhm, OK."
T002,177.05,179.66,2.61,Maybe we'll take like a consensus.
T002,180.37,183.78,3.41,Teen monsters in cars? Or does that even think cops should be first?
P175,186.65,194.71,8.06,"I mean, I guess it's it's like what are you being chased by cops? And then you go oh cars. And then you say oh OK, yeah, monsters do you know?"
T002,190.85,191.44,0.59,Yeah.
T002,195.57,196.2,0.63,Yeah.
P122,195.62,198.76,3.14,"It's hard to say, right? Yeah, I don't know, yeah."
T002,197.33,198.21,0.88,Yeah.
T002,199.66,204.94,5.28,"It's hard, I guess. It really depends on what kind of movies you watch. What's the first thing that's gonna pop into your head?"
T002,206.6,207.31,0.71,Uhm?
T002,209.26,209.93,0.67,OK.
T002,212.16,224.31,12.15,"So God Gabriel is making the case for monsters, and Charlie, you think cars better you think cops? Elizabeth, what do you think? Maybe you can do the deciding vote."
P175,224.42,224.86,0.44,Yeah.
P148,226.39,227.0,0.61,Come.
P148,228.14,229.95,1.81,"Yeah, I think I'd, uh."
P148,231.65,233.04,1.39,Are monsters cops?
T002,234.12,234.73,0.61,Yeah.
T002,235.4,237.05,1.65,So cars number one then.
P148,235.5,235.95,0.45,Yeah.
T002,237.79,238.95,1.16,Have people feel about that.
P181,239.68,240.17,0.49,Yeah.
P175,240.34,240.8,0.46,Help.
T002,240.79,241.86,1.07,"Yeah, cars."
P122,241.15,243.52,2.37,"I think that can be that can be our consensus, yeah?"
T002,243.53,246.64,3.11,OK so cars and then monsters number 2 and then call.
P175,247.42,248.31,0.89,Are we right?
T002,249.57,267.91,18.34,"I can reveal that actually, monsters is number one, yeah and then and then cars and then cops left. So you did get the one of the positions right? Yeah, so hard to guess. I just it really depends. I suppose I'll type agenda and movies that people are thinking. Oh I don't know."
P175,252.64,253.21,0.57,Oh
P122,252.94,253.57,0.63,Ah.
P181,253.14,253.95,0.81,Guys.
T002,269.44,272.75,3.31,OK hello I will you guys ready for another question.
T002,274.68,275.23,0.55,OK.
T002,275.92,278.48,2.56,Name an instrument in a Symphony Orchestra.
P175,281.53,282.41,0.88,Violins.
T002,283.0,284.52,1.52,"Violin, that's what I would say."
P122,283.09,283.57,0.48,Yeah.
P175,283.2,283.53,0.33,What?
P122,284.46,287.27,2.81,"That's definitely that's definitely gotta be one of them, yeah?"
T002,287.24,287.69,0.45,Yeah.
P181,288.39,289.22,0.83,Uhm?
P181,291.82,293.37,1.55,I don't wanna embarrass myself.
T002,294.45,296.81,2.36,I have no idea what the orchestra.
P122,296.21,298.51,2.3,"Maybe, maybe cello."
T002,299.07,304.74,5.67,"Yeah, there is OK. 283 violin and cello and there's one more."
P122,300.41,301.64,1.23,"OK, cool."
P175,300.51,301.28,0.77,Oh
P148,310.52,313.01,2.49,So I'm assuming it's gonna be another string instrument.
T002,313.28,315.51,2.23,"It could be, or it could not be."
P148,316.15,316.52,0.37,OK.
T002,316.36,318.73,2.37,"I'll give you a hint if you guys get ready, suck."
P122,319.73,321.28,1.55,Any piano.
T002,322.04,325.55,3.51,"Piano is not on there really, but I always think of the piano."
P122,323.53,324.06,0.53,Yeah.
P175,325.35,329.04,3.69,Can I can I Google what a saxophone is and then?
P175,330.77,332.84,2.07,Eliabeth if I think it's on there.
T002,333.18,339.68,6.5,"Well, I could tell you that it's not on there unfortunately, but saxophone. So with that Lisa Simpson plays."
P175,335.42,335.83,0.41,OK.
P122,341.97,345.62,3.65,Maybe horns in general? Or is that too vague or brass?
P175,343.66,344.13,0.47,Yeah.
T002,345.27,345.82,0.55,Ah.
P181,345.96,347.03,1.07,Or a flute?
T002,347.29,350.1,2.81,"Chords isn't on their brass, not under flute, not on there."
P175,350.3,350.65,0.35,Oh
P122,351.89,352.68,0.79,Clarinet
