speaker,start,end,duration,content
T001,1.69,30.61,28.92,"OK so hi everyone and thanks for coming. Today we're going to play a quiz so I'm going to ask you a question and you need to give me the tree most popular answers. The question was asked to 100 people anyway, so after you get the tree top answers, I'm going to ask you to rank them from most popular to least popular. So for example, if I said name something that people are afraid of, you might say other people, spiders and heights."
T001,31.37,41.04,9.67,"And the ordering would be spiders heights, other people and need to come to that order as a team. So there needs to be a bit of agreement between you. Any questions or is that sound fun?"
T001,43.35,49.56,6.21,"Sounds good. OK, so our first question is, name something that people are often chased by in movies."
P061,53.79,54.38,0.59,The police.
T001,55.11,56.27,1.16,"Yeah, the police is one of them."
P034,56.89,57.63,0.74,Ghosts.
T001,58.58,59.81,1.23,Ghost is close to 1.
P160,61.06,61.91,0.85,Monsters then?
T001,62.22,63.2,0.98,"Yeah, monsters."
P153,63.51,64.02,0.51,Muscles?
T001,64.5,64.85,0.35,Yeah.
P153,65.47,68.26,2.79,I guess zombies will be repeating monsters.
T001,65.61,66.26,0.65,So it's a.
T001,67.83,70.28,2.45,"Yes, all zombies will be monsters as well, so."
P153,70.72,71.21,0.49,Fight.
T001,70.93,73.62,2.69,We have police and we have a monsters.
T001,75.2,75.96,0.76,Look for another.
P153,78.77,79.18,0.41,Books.
P061,80.35,80.91,0.56,Cash.
T001,82.23,82.67,0.44,Sorry.
P061,82.87,83.6,0.73,Cares.
T001,84.21,87.48,3.27,"Cars, yeah, that's our third one that we're looking for."
T001,89.03,97.76,8.73,"So we have police. We have monsters and we have cars, but now the more difficult thing is what's the ranking from most popular answer to the least popular answer."
T001,101.26,104.09,2.83,And you do need to like agree and give me an answer as a team.
P034,105.69,108.12,2.43,I'd say monsters would be the most popular.
P153,109.1,109.49,0.39,Eric.
P034,110.08,113.01,2.93,Because it includes all of type of monsters.
P153,118.17,123.67,5.5,Then I would. I would say cars maybe and then police or the other way round.
P160,122.38,123.49,1.11,"Yeah, I think so."
P061,125.19,126.55,1.36,"No, go for that."
P160,125.48,128.27,2.79,'cause I think I I thought of cars.
P061,129.12,129.61,0.49,1st.
P160,129.2,129.53,0.33,Pretty.
P160,130.17,133.36,3.19,"Pretty soon as well, so probably second that."
P034,134.02,134.33,0.31,Yeah.
P153,135.28,135.64,0.36,OK.
T001,136.08,140.29,4.21,"OK, so there's a good bit of agreement that we should go monsters then cars and then police."
P034,141.66,142.09,0.43,Yep.
P153,141.83,142.32,0.49,I think so.
P061,142.01,142.54,0.53,Suzuka
T001,143.45,146.36,2.91,"That's good. 'cause that's right. It is monsters, cars and."
T001,147.94,149.73,1.79,"Officially down as cops, but I think."
T001,150.65,159.01,8.36,"You know police and cops the exact same thing, so that's one we're doing well. Our second question is name and instrument in a Symphony Orchestra."
