tier_id	participant	start_time3	start_time2	start_time1	end_time3	end_time2	end_time1	content
Section		00:00:00.000	0.0	0	00:00:37.925	37.925	37925	00:00:37.925	37.925	37925	Introduction
Section		00:00:37.925	37.925	37925	00:02:27.627	147.627	147627	00:01:49.702	109.702	109702	Question1
Section		00:02:27.634	147.634	147634	00:04:21.265	261.265	261265	00:01:53.631	113.631	113631	Ranking1
Section		00:04:21.265	261.265	261265	00:04:44.980	284.98	284980	00:00:23.715	23.715	23715	Question2
Section		00:04:44.980	284.98	284980	00:05:53.040	353.04	353040	00:01:08.060	68.06	68060	Ranking2
Section		00:05:53.040	353.04	353040	00:07:12.033	432.033	432033	00:01:18.993	78.993	78993	Question3
Section		00:07:12.033	432.033	432033	00:08:16.944	496.944	496944	00:01:04.911	64.911	64911	Ranking3
Section		00:08:16.955	496.955	496955	00:11:02.955	662.955	662955	00:02:46.000	166.0	166000	Question4
Section		00:11:02.955	662.955	662955	00:11:50.777	710.777	710777	00:00:47.822	47.822	47822	Ranking4
Section		00:11:50.777	710.777	710777	00:12:34.100	754.1	754100	00:00:43.323	43.323	43323	Question5
Section		00:12:34.111	754.111	754111	00:14:24.633	864.633	864633	00:01:50.522	110.522	110522	Ranking5
Section		00:14:24.633	864.633	864633	00:14:36.311	876.311	876311	00:00:11.678	11.678	11678	Closing
T001_Luke_utt	T001	00:00:00.000	0.0	0	00:00:01.940	1.94	1940	00:00:01.940	1.94	1940	
T001_Luke_utt	T001	00:00:01.940	1.94	1940	00:00:29.910	29.91	29910	00:00:27.970	27.97	27970	OK so hi everyone and thanks for coming. Today we're going to play a quiz so I'm going to ask you a question is asked 100 people and you need to give me the tree most popular answers to that question. And after you get the top tree I'm going to ask you to rank them from the most popular to least popular. So for example if I ask name something that people are afraid of the tree most popular answers might be other height or other people heights and spiders.
T001_Luke_utt	T001	00:00:29.910	29.91	29910	00:00:30.540	30.54	30540	00:00:00.630	0.63	630	
T001_Luke_utt	T001	00:00:30.540	30.54	30540	00:00:36.220	36.22	36220	00:00:05.680	5.68	5680	And the ordering will be spiders, heights. Other people. So does that make sense? Or any questions?
T001_Luke_utt	T001	00:00:36.220	36.22	36220	00:00:37.890	37.89	37890	00:00:01.670	1.67	1670	
T001_Luke_utt	T001	00:00:37.890	37.89	37890	00:00:44.440	44.44	44440	00:00:06.550	6.55	6550	OK, so we'll get on with our first question. It's named something that people are often chased by in movies.
T001_Luke_utt	T001	00:00:44.440	44.44	44440	00:00:49.510	49.51	49510	00:00:05.070	5.07	5070	
T001_Luke_utt	T001	00:00:49.510	49.51	49510	00:00:51.320	51.32	51320	00:00:01.810	1.81	1810	Well, actually you can all collaborate.
T001_Luke_utt	T001	00:00:51.320	51.32	51320	00:00:53.000	53.0	53000	00:00:01.680	1.68	1680	
T001_Luke_utt	T001	00:00:53.000	53.0	53000	00:00:56.350	56.35	56350	00:00:03.350	3.35	3350	Especially towards the end you all have to reach a kind of consensus on the ordering so.
T001_Luke_utt	T001	00:00:56.350	56.35	56350	00:00:56.990	56.99	56990	00:00:00.640	0.64	640	
T001_Luke_utt	T001	00:00:56.990	56.99	56990	00:00:57.670	57.67	57670	00:00:00.680	0.68	680	Fire away.
T001_Luke_utt	T001	00:00:57.670	57.67	57670	00:00:59.700	59.7	59700	00:00:02.030	2.03	2030	
T001_Luke_utt	T001	00:00:59.700	59.7	59700	00:01:00.130	60.13	60130	00:00:00.430	0.43	430	Yep.
T001_Luke_utt	T001	00:01:00.130	60.13	60130	00:01:06.320	66.32	66320	00:00:06.190	6.19	6190	
T001_Luke_utt	T001	00:01:06.320	66.32	66320	00:01:10.290	70.29	70290	00:00:03.970	3.97	3970	Think along the lines of serial killer is, but it's not one of them.
T001_Luke_utt	T001	00:01:10.290	70.29	70290	00:01:12.250	72.25	72250	00:00:01.960	1.96	1960	
T001_Luke_utt	T001	00:01:12.250	72.25	72250	00:01:16.730	76.73	76730	00:00:04.480	4.48	4480	Monsters is one. Yeah, that's the one kind of related to serial killers, so monsters is one of them.
T001_Luke_utt	T001	00:01:16.730	76.73	76730	00:01:19.420	79.42	79420	00:00:02.690	2.69	2690	
T001_Luke_utt	T001	00:01:19.420	79.42	79420	00:01:23.030	83.03	83030	00:00:03.610	3.61	3610	Name something that people are often chased by in movies?
T001_Luke_utt	T001	00:01:23.030	83.03	83030	00:01:26.540	86.54	86540	00:00:03.510	3.51	3510	
T001_Luke_utt	T001	00:01:26.540	86.54	86540	00:01:28.060	88.06	88060	00:00:01.520	1.52	1520	Cars is another one. Yep.
T001_Luke_utt	T001	00:01:28.060	88.06	88060	00:01:29.100	89.1	89100	00:00:01.040	1.04	1040	
